name,address,city,stars,review_count,tags
Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,Wesley Chapel,4.5,95,burger sports bar bar lounges restaurants salad wrap nightlife american (new) burger sports bar bar lounges restaurants salad wrap nightlife american (new) businessacceptscreditcards happyhour alcohol_full_bar restaurantsattire_casual smoking_outdoor bikeparking hastv moderate casual restaurantsgoodforgroups ambience_casual restaurantstableservice wifi_free caters wheelchairaccessible noiselevel_average restaurantsreservations restaurantstakeout corkage restaurantsdelivery goodformeal_dinner
Chipotle Mexican Grill,10160 Ulmerton Rd,Largo,3.0,19,mexican fast food restaurants mexican fast food restaurants cheap budget inexpensive affordable caters bikeparking goodforkids businessparking_lot noiselevel_average outdoorseating goodformeal_lunch businessacceptscreditcards restaurantsattire_casual restaurantsdelivery wifi_free hastv drivethru restaurantstakeout
PDQ Temple Terrace,5112 E Fowler Ave,Tampa,3.0,5,fast food sandwich chicken shop restaurants fast food sandwich chicken shop restaurants businessacceptscreditcards restaurantstakeout restaurantsdelivery caters
Aussie Grill,25340 Sierra Center Blvd,Lutz,4.0,75,restaurants american (new) burger fast food steakhouse restaurants american (new) burger fast food steakhouse outdoorseating businessacceptscreditcards caters restaurantstakeout alcohol_beer_and_wine wheelchairaccessible restaurantsdelivery restaurantstableservice
530 Pub & Grill,530 Cleveland St,Clearwater,4.5,6,american (traditional) restaurants burger wrap sandwich bar nightlife beer bar american (traditional) restaurants burger wrap sandwich bar nightlife beer bar wheelchairaccessible restaurantstableservice restaurantstakeout restaurantsdelivery
O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,4.0,108,bar pubs nightlife arts & entertainment irish restaurants music venues bar pubs nightlife arts & entertainment irish restaurants music venues restaurantsgoodforgroups alcohol_full_bar restaurantsattire_casual bikeparking outdoorseating restaurantstakeout businessacceptscreditcards wifi_free goodforkids businessparking_street moderate casual hastv caters dogsallowed bestnights_friday bestnights_wednesday bestnights_saturday ambience_casual goodfordancing goodformeal_latenight goodformeal_dinner music_live noiselevel_loud
Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",Tampa,4.5,39,irish pub bar restaurants irish nightlife irish pub bar restaurants irish nightlife alcohol_full_bar goodformeal_lunch goodformeal_brunch goodformeal_breakfast restaurantsattire_casual moderate casual hastv goodforkids businessacceptscreditcards restaurantstakeout
Cafe Con Leche,4100 George J Bean Pkwy,Tampa,2.5,55,restaurants breakfast & brunch coffee roasteries coffee & tea food restaurants breakfast & brunch coffee roasteries coffee & tea food businessacceptscreditcards wifi_free goodforkids restaurantsattire_casual restaurantstakeout cheap budget inexpensive affordable restaurantsdelivery hastv
Williams Sub Shop,3801 Tyrone Blvd N,Saint Petersburg,4.5,99,restaurants sandwich restaurants sandwich businessparking_lot bikeparking caters goodforkids cheap budget inexpensive affordable ambience_casual restaurantsattire_casual noiselevel_average restaurantstakeout restaurantsgoodforgroups hastv goodformeal_lunch
Brandon Burgers,1513 W Brandon Blvd,Brandon,3.5,24,salad hot dog burger restaurants american (traditional) fast food salad hot dog burger restaurants american (traditional) fast food restaurantsdelivery hastv caters bikeparking dogsallowed restaurantstakeout wheelchairaccessible businessacceptscreditcards
